Language,	English,	French
STR_WC_MISSION4,	"The enemy is waiting for a fuel delivery. Destroy the truck transporting it!",	"Les enemis attendent un reapprovisionnement de carburant. Detruisez le camion."
STR_WC_MISSION5,	"The enemy is waiting for an ammo delivery. Destroy the Ural transporting it!",	"Les enemis attendent un reapprovisionnement de munitions. Detruisez l'ural."
STR_WC_MISSION6,	"A Takistani commander is visiting this place. Intel indicates he plans to set up a new military base in this area. The local citizens are worried about it. Put a stop to his plans by eliminating him!",	"Un commandant Takistanais est en deplacement. Cet endroit sera utilise pour construire une nouvelle base. La population locale est tres inquiete. Eliminez le."
STR_WC_MISSION7,	"We have located a mobile enemy base. Intel indicates the enemy are using it to track our armor movement. Put a stop to this and destroy the BMP2.",	"Nous avons localise une base enemie mobile. Cette petite base donne des informations sur le deplacement de nos blindes. Detruisez le Bmp2."
STR_WC_MISSION8,	"A fuel cache has been identified near this village. Destroy it.",	"Un depot de carburant est proche de ce village. Detruisez le."
STR_WC_MISSION9,	"A fuel cache has been reported near this village. Destroy it.",	"Un depot de carburant est proche de ce village. Detruisez le."
STR_WC_MISSION10,	"There is contraband believed to be a drus shipment in this village. Destroy it.",	"Il y a un contenaire de contrebande dans ce village. Detruisez le."
STR_WC_MISSION11,	"A power generator provides energy for enemy structures around this location. Put it out of action.",	"Il y a un generateur d eletricite qui donne de l'energie a toutes les installations aux alentours. Detruisez le."
STR_WC_MISSION12,	"Intel has reported that an enemy helo is preparing to take off with an enemy special forces team. Destroy it!",	"Un commando heliporte enemi est proche et va bientot decoller. Detruisez le."
STR_WC_MISSION13,	"A transport helo needs to be destroyed!",	"Un helicoptere enemi doit etre detruit."
STR_WC_MISSION14,	"Intel has reported that a renegade spy is going to leak classified intelligence to the enemy. Find him and kill him!",	"Un traite va livrer des informations. Trouvez le et tuez le."
STR_WC_MISSION15,	"An enemy radar is tracking all of our planes. Neutralize it!",	"Un radar enemi localise tous nos avions. Neutralisez le."
STR_WC_MISSION16,	"There is a hospital in this village. Previously it was a civilian hospital but now the enemy have taken control of it. We cannot let that continue. Destroy it!",	"Il y a un hopital dans ce village. Nous savons qu il est utilise par les civils et egalement par les soldats enemis. Detruisez le."
STR_WC_MISSION17,	"The enemy have established a heavy factory in this village. Destroy it!",	"Il y a une usine d'armement lourd dans ce village. Detruisez la."
STR_WC_MISSION18,	"A suicide bomber has been identified near village by local civilians. They want him taken out before anyone gets hurt. Find him and stop him!",	"Un homme bombe a ete localise dans un village par la population. Trouvez le et neutralisez le."
STR_WC_MISSION19,	"A warlord who is terrorizing the country has been located. Eliminate him!",	"Un seigneur de guerre qui propage la terreur dans le pays a ete localise. Eliminez le."
STR_WC_MISSION20,	"A Takistani political officer is visiting this village to meet with local tribes about peace in the country. Eliminate him!",	"Un officier takistanais visite cet endroit pour organiser une reunion au sujet de la paix dans le pays. Eliminez le."
STR_WC_MISSION21,	"An AA position has been spotted. This AA artillery is very strong and has caused a lot of damage to our planes. Find it and destroy it!",	"Un piece d artillerie AA a ete localise. Cette piece d artillerie AA cause de nombreux degats a nos avions. Detruisez la."
STR_WC_MISSION22,	"A nuclear launcher has been spotted. We don't know if it's armed or not. Either way find it and destroy it!",	"Un lanceur de missile nucleaire a ete localise. Nous ne savons pas s il est arme ou pas. Trouvez le et detruisez le."
STR_WC_MISSION23,	"An IED has been discovered in a village by locals. They have requested we send an engineer to defuse it!",	"Un ied a ete trouve par les habitants locaux. Un ingenieur doit le desamorcer"
STR_WC_MISSION24,	"This radio tower allows the enemy to call in reinforcements. It will take few minutes before the first soldiers arrive so you must destroy the radio tower as soon as possible before enemy are alerted!",	"Cette tour radio permet a l'enemi d appeler des renforts. Quand l'enemi appelle du renfort cela peut prendre plusieurs minutes avant l'arrivee des premiers soldats. Vous devez detruire l'antenne le plus tot possible avant que l'enemi sonne l'alerte!"
STR_WC_MISSION25,	"An electrical station has been built. This electricity is only supplying military buildings. Destroy it!",	"Une station electrique vient d etre construite. Cette station sert pour l'ensemble des batiments civils et militaires. Detruisez la!"
STR_WC_MISSION26,	"The enemy just finished their brand new ZSU. Find it and destroy it!",	"Un nouveau type de ZSU a ete construit. Trouvez le et detruisez le!"
STR_WC_MISSION27,	"A new kind of T72 has been built. Find it and destroy it!",	"Un nouveau type de T72 a ete construit. Trouvez le et detruisez le!"
STR_WC_MISSION28,	"A kidnapped journalist has been located. Find him and escort him back to base!",	"Un membre de la presse emprisonne a ete localise. Liberez le!"
STR_WC_MISSION29,	"A terminal was installed by the enemy. Find it and destroy it!",	"Un terminal a ete installe par l'enemi. Trouvez le et detruisez le."
STR_WC_MISSION30,	"A friendly officer has been captured. Liberate him!",	"Un officier ami a ete capture. Liberez le."
STR_WC_MISSION31,	"A female tourist that travelled in the country was kidnapped by an enemy group. Liberate her!",	"Une touriste qui voyageait dans le pays a ete capture par l'enemi. Liberez la!"
STR_WC_MISSION32,	"The enemy is planning an attack with one of their ZSU. An engineer needs to infiltrate without to be detected by the` enemy and sabotage it!",	"Un nouveau type de ZSU a ete construit. Un ingenieur doit s infiltrer sans etre decouvert et le saboter!"
STR_WC_MISSION33,	"A new kind of T72 tank has been built. The mission requires an engineer to infiltrate and sabotage it without being discovered by the enemy!",	"Un nouveau type de ZSU a ete construit. Un ingenieur doit s infiltrer sans etre decouvert et le saboter!"
STR_WC_MISSION34,	"The enemy have built a new radio tower. It allows them to call in reinforcement far more quickly. The mission requires an engineer to infiltrate and sabotage it without being discovered by the enemy!",	"Une tour radio permet d appeller des renforts. Un ingenieur doit s infiltrer sans etre decouvert et la saboter!"
STR_WC_MISSION35,	"Infiltrate the location and find the intelligence documents we believe to be there. You have to steal tem without being detected by enemies.",	"Infiltrez vous et trouvez les documents sans etre decouvert par l'enemi."
STR_WC_MISSION36,	"We need to steal a BRDM2 for a future mission insertion into the enemy zone of control!",	"Volez un BRDM2 pour une insertion en zone enemi!"
STR_WC_MISSION37,	"We need to steal a BTR60 for a future mission insertion into the enemy zone of control!",	"Volez un BTR60 pour une insertion en zone enemi!"
STR_WC_MISSION38,	"We need additional fuel and handily the enemy have some. We have identified an enemy fuel cache. Steal it!",	"Nous avons besoin de carburant. Nous savons connaissance d'une cargaison. Volez la!"
STR_WC_MISSION39,	"A Takistani commander is visiting this place. This officer fills a key role for the enemy, his knowledge would be invaluable and would save lives. Capture him!",	"Un commandant Takistanais visite cet endroit. Cette homme a un role tres important dans cette guerre. Capturez le!"
STR_WC_MISSION40,	"A Takistani officer is visiting this village. Capture him!",	"Un officier takistanais visite cet endroit. Capturez le!"
STR_WC_MISSION41,	"A warlord who is terrorizing the country has been located. Capture him!",	"Un seigneur de guerre qui provoque la terreur dans le pays a ete localise. Capturez le!"
STR_WC_MISSION42,	"A civilian working with the insurgents has been confirmed training additional insurgents for the enemy. It is vital that you capture him alive.",	"Un civil resistant a ete identifie comme participant a des actes terroristes et a l'entrainement des enemies. Capturez le!"
STR_WC_MISSION43,	"The enemy has stolen one of our AH64 attack helos. Retrieve it!",	"Les enemis ont vole un de nos helicopteres de combat AH61, recuperez le!"
STR_WC_MISSION44,	"The enemy has stolen one of our UH1 transport helos. Retrieve it!",	"Les enemis ont vole un de nos helicopteres de transport UH1, recuperez le!"
STR_WC_MISSION45,	"The enemy has stolen one of our M1A1 tanks. Retrieve it!",	"Les enemis ont vole un de nos blindes M1, recuperez le!"
STR_WC_MISSION46,	"The enemy has stolen one of our MH6 helos. Retrieve it!",	"Les enemis ont vole un de nos helicopteres MH6, recuperez le!"
STR_WC_MISSION47,	"There is an ammo cache in this village. Destroy it!",	"Il y a une cache de munitions a cet endroit, detruisez la!"
STR_WC_MISSION48,	"This is a service and repair center. The enemy uses it to repair, refule and rearm their armored and light vehicles to keep them operational in field longer. You must destroy it at all cost.",	"Il y a un centre de reparation qui sert aux enemis pour reparer leurs blindes ainsi que les vehicules legers quand ils sont de retour du nord du pays. Vous devez le detruire."
STR_WC_MISSION49,	"The enemy has stolen one of our helos. Retrieve it!",	"Les enemis ont vole un de nos helicopteres de transport, recuperez le!"
STR_WC_MISSION50,	"This is a covert mission. You must assassinate a civilian female collaborator. Everybody must think it is terrorist act, so do not get caught.",	"Vous avez pour mission secrete de tuer une femme civil. Tout le monde doit penser que cet un acte terroriste!"
STR_WC_MISSION51,	"A new kind of %1 has been built. Find it and destroy it!",	"Un nouveau type de %1 a ete construit. Trouvez le et detruisez le."
STR_WC_MISSION52,	"We need a new %1 to infiltrate enemy territory. Steal it!",	"Nous avons besoin d un nouveau %1 pour nous infiltrer. Volez le!"
STR_WC_MISSION53,	"We need to stop a %1. The mission requires an engineer to infiltrate and sabotage it without being discovered by the enemy!",	"Nous devons stopper un %1. Un ingenieur doit s infiltrer et le saboter!"
STR_WC_MISSION54,	"A pilot was shot down on a reconnaissance mission over Takistan. We haven't heard from him for several hours. Find him and rescue him!",	"un pilote etait en mission de reconnaissance au dessus du takistan. Nous n avons plus de nouvelles de lui depuis plusieurs heures, et nous savons que son appareil s est ecrase. Retrouvez le!"
STR_WC_MISSION55,	"A friendly area is under attack. Defend it! To activate the mission, soldiers must go to the flag, activate the mission and protect the zone for a period of time.",	"Une zone amie est attaque. Defendez la! Pour activer la mission, les soldats doivent se rendre au drapeau et proteger la zone pendant un certains temps."
STR_WC_MISSION56,	"A friendly area is under attack. Defend it! To activate the mission, soldiers must go to the flag, activate the mission and protect the zone for a period of time.",	"Une zone amie est attaque. Defendez la! Pour activer la mission, les soldats doivent se rendre au drapeau et proteger la zone pendant un certains temps."
STR_WC_MISSION57,	"A C130 was on a flight over Takistan when it was shot down by the enemy. The pilot is still alive, but in the hands of enemy soldiers. Get your boys together for this rescue mission!",	"Un C130 etait en mission au dessus du Takistan quand il a ete descendu par la DCA enemie. Un de nos pilotes est encore vivant, mais a ete capture. Recuperez le."
STR_WC_MISSION58,	"The enemy has stolen one of our A10 planes. Retrieve it!",	"Les enemis ont vole un de nos A10, recuperez le!"
STR_WC_MISSION59,	"The enemy has stolen one of our AH6X helos. Retrieve it!",	"Les enemis ont vole un de nos AH6X, recuperez le!"
STR_WC_MISSION60,	"The enemy has stolen one of our AH64 helos. Retrieve it!",	"Les enemis ont vole un de nos AH64, recuperez le!"
STR_WC_MISSION61,	"We know that enemy will use a SU25 to strike at our armor. Raid the airbase and destroy it!",	"Nous savons que les enemis vont utiliser un su 25 pour frapper nos blindes. Trouvez le a l'aeroport et detruisez le!"
STR_WC_MISSION62,	"We know that enemy pilots train with an L39. To stop them, you have to find it at the airbase and destroy it!",	"Nous savons que les pilotes enemis s entrainent avec un L39. Trouvez le a l'aeroport et detruisez le!"
STR_WC_MISSION63,	"We have informations about an attack on an oil pump. It is vital to the war effort, so do your best to defend the oil pump!",	"Nous avons eu des informations sur une attaque enemie sur un forage petrolier! Protegez le!"
STR_WC_MISSION64,	"A friendly and influential civilian was wounded recently. We need to help him. Send a medic and heal him!",	"Un civil influent a recement ete blessee. Nous devons lui porter secours. Envoyez un medic et soignez le!"
STR_WC_MISSION65,	"We know that some enemy SPG9's are heading for this fuel station to refuel. Destroy the fuel station!",	"Une station d essence sert au reapprovisonnement des vehicules enemis. Detruisez la!"
STR_WC_MISSION66,	"We need to build a Mobile Army Surgical Hospital in this area to support the local population. Get your team and build it!",	"Nous avons besoin de construire un hopital mobile chirurgical a cet endroit pour aider la population locale. Allez y!"
STR_WC_MISSION67,	"We need to build a military hospital in this area to support our local troops. Get your team and build it!",	"Nous avons besoin de construire un hopital militaire a cet endroit pour aider nos troupes. Allez y!"
STR_WC_MISSION68,	"We need to deploy a radar to dominate the local air zone. Get your team and build it!",	"Nous avons besoin de deployer un radar pour controler completement la zone aerienne. Allez y!"
STR_WC_MISSION69,	"We need to deploy a service point to support our vehicles. Get your team and build it!",	"Nous avons besoin de deployer un point de service pour aider la progression de nos vehicules. Allez y!"
STR_WC_MISSION70,	"We need to extract injured civilians to the MASH on base. Get your team and extract them!",	"Nous avons besoin d extraire une population locale jusqu a l hopital de la base! Extractez les!"
STR_WC_MISSION71,	"We need to secure an airfield zone for next operation. Go over there and clean the zone!",	"Nous avons besoin de securiser un aeroport pour les prochaines operations. Allez la bas et securisez la zone!"
STR_WC_MISSION72,	"We need to take and secure an oil extraction zone, to force the Takistanis to go around. Go over there and clean the zone!",	"Nous avons besoin de securisez une zone autour du forage car il y a trop de takistanais. Allez la bas et securisez la zone!"
STR_WC_MISSION73,	"A Forward Operating Base requires an ammo resupply. Bring an ammo truck from base to this FOB!",	"Une petite base a besoin d un camion de munitions. Apportez ce camion de munitions!"
STR_WC_MISSION74,	"We need an advanced Forward Operating Base. Build a bunker here!",	"Nous avons besoin d un poste avance, construisez un bunker ici"
STR_WC_MISSION100,	"Final mission: Intel have identified where the enemy leader is based. Your mission is to kill him as we we believe this will stop the war. Good luck!",	"Final mission: Vous avez decouvert l'endroit ou se cache le leader enemi. Vous devez le tuer pour arreter la guerre. Bonne chance !"
STR_WCSHORT_MISSION0,	"Destroy a SCUD launcher",	"Destroy a SCUD launcher"
STR_WCSHORT_MISSION1,	"Kill a gold trafficker",	"Kill a gold trafficker"
STR_WCSHORT_MISSION2,	"Kill a nuclear scientist",	"Kill a nuclear scientist"
STR_WCSHORT_MISSION3,	"Destroy a barracks",	"Destroy a barrack"
STR_WCSHORT_MISSION4,	"Destroy a refueling Ural",	"Destroy a refueling Ural"
STR_WCSHORT_MISSION5,	"Destroy a Ural",	"Destroy an ural"
STR_WCSHORT_MISSION6,	"Kill a Takistani commander",	"Kill a takistan commander"
STR_WCSHORT_MISSION7,	"Destroy a BMP2 HQ",	"Destroy a BMP2 hq"
STR_WCSHORT_MISSION8,	"Destroy a small fuel location",	"Destroy a small fuel location"
STR_WCSHORT_MISSION9,	"Destroy a big fuel location",	"Destroy a big fuel location"
STR_WCSHORT_MISSION10,	"Destroy the smuggled cargo",	"Destroy the smuggled cargo"
STR_WCSHORT_MISSION11,	"Destroy a power generator",	"Destroy a power generator"
STR_WCSHORT_MISSION12,	"Destroy a commando group",	"Destroy a commando group"
STR_WCSHORT_MISSION13,	"Destroy a transport chopper",	"Destroy a transport chopper"
STR_WCSHORT_MISSION14,	"Kill the traitor",	"Kill the treat"
STR_WCSHORT_MISSION15,	"Destroy the radar",	"Destroy the radar"
STR_WCSHORT_MISSION16,	"Destroy the hospital",	"Destroy the hospital"
STR_WCSHORT_MISSION17,	"Destroy the heavy factory",	"Destroy the heavy factory"
STR_WCSHORT_MISSION18,	"Eliminate the suicide bomber",	"Eliminate the bomber man"
STR_WCSHORT_MISSION19,	"Kill a warlord",	"Kill a war lord"
STR_WCSHORT_MISSION20,	"Kill a Takistani officer",	"Kill a takistan officer"
STR_WCSHORT_MISSION21,	"Destroy an AA artillery site",	"Destroy an aa artillery"
STR_WCSHORT_MISSION22,	"Destroy a missile launcher",	"Destroy a missile launcher"
STR_WCSHORT_MISSION23,	"Destroy an IED",	"Destroy an IED"
STR_WCSHORT_MISSION24,	"Destroy a radio tower",	"Destroy a radio tower"
STR_WCSHORT_MISSION25,	"Destroy an electrical station",	"Destroy an electrical station"
STR_WCSHORT_MISSION26,	"Destroy a ZSU",	"Destroy a ZSU"
STR_WCSHORT_MISSION27,	"Destroy a T72",	"Destroy a T72"
STR_WCSHORT_MISSION28,	"Rescue a hostage",	"Liberate an hostage"
STR_WCSHORT_MISSION29,	"Destroy a terminal installation",	"Destroy a terminal installation"
STR_WCSHORT_MISSION30,	"Rescue an officer",	"Liberate an officer"
STR_WCSHORT_MISSION31,	"Rescue a tourist",	"Liberate a tourist"
STR_WCSHORT_MISSION32,	"Sabotage a ZSU",	"Sabotage a ZSU"
STR_WCSHORT_MISSION33,	"Sabotage a T72",	"Sabotage a T72"
STR_WCSHORT_MISSION34,	"Sabotage a radio tower",	"Sabotage a radio tower"
STR_WCSHORT_MISSION35,	"Steal secret documents",	"Steal secret document"
STR_WCSHORT_MISSION36,	"Rob a BDRM2",	"Rob a BRDM2"
STR_WCSHORT_MISSION37,	"Rob a BTR60",	"Rob a BTR60"
STR_WCSHORT_MISSION38,	"Rob a Ural",	"Rob an Ural"
STR_WCSHORT_MISSION39,	"Capture a Takistani commander",	"Capture a takistan commander"
STR_WCSHORT_MISSION40,	"Capture a Takistani officer",	"Capture a takistan officer"
STR_WCSHORT_MISSION41,	"Capture a warlord",	"Capture a war lord"
STR_WCSHORT_MISSION42,	"Capture a civilian",	"Capture a civilian"
STR_WCSHORT_MISSION43,	"Retrieve an AH64",	"Retrieve an AH64"
STR_WCSHORT_MISSION44,	"Retrieve a UH1",	"Retrieve an UH1"
STR_WCSHORT_MISSION45,	"Retrieve an M1A1",	"Retrieve an M1A1"
STR_WCSHORT_MISSION46,	"Retrieve an MH6",	"Retrieve a MH6"
STR_WCSHORT_MISSION47,	"Destroy an ammo cache",	"Destroy an ammo cache"
STR_WCSHORT_MISSION48,	"Destroy a repair center",	"Destroy a repair center"
STR_WCSHORT_MISSION49,	"Retrieve a Chinook",	"Retrieve a Chinook"
STR_WCSHORT_MISSION50,	"Kill a civilian Takistani woman",	"Kill a civilian Takistani woman"
STR_WCSHORT_MISSION51,	"Destroy a vehicle",	"Destroy a vehicle"
STR_WCSHORT_MISSION52,	"Rob a vehicle",	"Rob a vehicle"
STR_WCSHORT_MISSION53,	"Sabotage a vehicle",	"Sabotage a vehicle"
STR_WCSHORT_MISSION54,	"Rescue a pilot",	"Rescue a pilot"
STR_WCSHORT_MISSION55,	"Defend an area",	"Defend an area"
STR_WCSHORT_MISSION56,	"Defend some barracks",	"Defend some barracks"
STR_WCSHORT_MISSION57,	"Rescue a C130 pilot",	"Rescue a C130 pilot"
STR_WCSHORT_MISSION58,	"Retrieve an A10 plane",	"Retrieve an A10 plane"
STR_WCSHORT_MISSION59,	"Retrieve an AH6X helo",	"Retrieve an AH6X helo"
STR_WCSHORT_MISSION60,	"Retrieve a AH64 helo",	"Retrieve a AH64 helo"
STR_WCSHORT_MISSION61,	"Destroy a SU25 plane",	"Destroy a SU25 plane"
STR_WCSHORT_MISSION62,	"Destroy a L39 plane",	"Destroy a L39 plane"
STR_WCSHORT_MISSION63,	"Defend an oil pump",	"Defend an oil pump"
STR_WCSHORT_MISSION64,	"Heal a civilian",	"Heal a civilian"
STR_WCSHORT_MISSION65,	"Destroy a fuel location",	"Destroy a fuel location"
STR_WCSHORT_MISSION66,	"Build a MASH",	"Build a MASH"
STR_WCSHORT_MISSION67,	"Build a military hospital",	"Build a military hospital"
STR_WCSHORT_MISSION68,	"Build a radar",	"Build a radar"
STR_WCSHORT_MISSION69,	"Build a service point",	"Build a service point"
STR_WCSHORT_MISSION70,	"Rescue 10 civilians",	"Rescue 10 civilians"
STR_WCSHORT_MISSION71,	"Secure an airfield zone",	"Secure an airfield zone"
STR_WCSHORT_MISSION72,	"Secure an oil pump zone",	"Secure an oil pump zone"
STR_WCSHORT_MISSION73,	"Bring an ammo truck",	"Bring an ammo truck"
STR_WCSHORT_MISSION74,	"Build a bunker",	"Build a bunker"
STR_WCSHORT_MISSION100,	"Final: Kill the leader",	"Final: Kill the leader"
STR_WC_TITLE_MISSION,	"War in Takistan: Operations Iron Rains",	"War in Takistan: Operations pluies d'acier"
STR_WC_CALLREINFORCEMENT,	"Incoming reinforcements",	"Des renforts attaquent"
STR_WC_BUTTONBUILD,	"Build",	"Construire"
STR_WC_BUTTONCLOSE,	"Close",	"Fermer"
STR_WC_MENUOPERATIONPLAN,	"Combat operation plan",	"Combat operation plan"
STR_WC_MENUBUILDTRENCH,	"Dig trench",	"Creuser une tranchee"
STR_WC_MENUREPAIRVEHICLE,	"Repair Vehicle",	"Reparer le vehicule"
STR_WC_MENUREPAIRVEHICLE2,	"Repair Vehicle: %1",	"Reparer le vehicule: %1"
STR_WC_MENUUNLOCKVEHICLE,	"Lock/Unlock Vehicle",	"Verrouiller/Deverouiller le vehicule"
STR_WC_MENUUNFLIPVEHICLE,	"Unflip Vehicle",	"Retourner le vehicule"
STR_WC_MENUCHOOSEMISSION,	"Check operation plan",	"Check operation plan"
STR_WC_MENUWELCOMEBASE,	"Welcome to base",	"Bienvenue a la base"
STR_WC_MENUTAKEWEAPONS,	"Take some weapons at ammobox and wait for orders.",	"Prenez une arme dans la caisse et attendez les ordres."
STR_WC_MENUKINDOFGAME,	"This mission is currently played as %1 game.",	"Cette mission est jouee en difficulte %1."
STR_WC_MENUBUILD,	"Building",	"Construction"
STR_WC_MENURECRUITMENT,	"Recruitment",	"Recrutement"
STR_WC_MENURECRUITASTEAMMENBER,	"You have been recruited as team member",	"Vous avez ete recrute comme membre de l'equipe"
STR_WC_MENUFOLLOWTHELEADER,	"Follow the team leader's instructions as your actions impact the team score",	"Suivez les instructions du leader car vos actes impactent le score de l'equipe maintenant"
STR_WC_MENUTEAMMANAGEMENT,	"Manage team",	"Manage team"
STR_WC_MENUSPECTATOR,	"Spectator Mode",	"Mode spectateur"
STR_WC_MENUCANCELMISSION,	"Cancel Mission",	"Cancel Mission"
STR_WC_MENUDEPLOYTENT,	"Deploy a tent",	"Deployer une tente"
STR_WC_MENUBOMBING,	"Bombing support",	"Bombardement"
STR_WC_MENULOADOUTPRESET,	"Choose your custom preset",	"Choisissez votre equipement"
STR_WC_MESSAGEWASKILLED,	"Soldier %1 was killed: -1 point",	"Le soldat %1 a ete tue: -1 point"
STR_WC_MESSAGEMISSIONINITIALIZED,	"Mission Initialized",	"Mission Initialisee"
STR_WC_MESSAGERESPAWNTOBASE,	"%1 has respawned to main base!",	"%1 a respawn a la base!"
STR_WC_MESSAGERESPAWNTOTENT,	"%1 has respawned to his tent!",	"%1 a respawn a sa tente!"
STR_WC_MESSAGERESPAWNTOHQ,	"%1 has respawned to Mobile HQ!",	"%1 a respawn au HQ!"
STR_WC_MESSAGEGOTABLAME,	"%1 has received blame!",	"%1 a recu un blame !"
STR_WC_MESSAGEMISSINGADDONS,	"MISSING ADDON: %1",	"ADDON MANQUANT: %1"
STR_WC_MESSAGEBUILDINGFINISHED,	"Building is finished",	"Construction terminee"
STR_WC_MESSAGESABOTING,	"Sabotaging",	"Sabotage en cours"
STR_WC_MESSAGESABOTINGFINISHED,	"Sabotaging is finished",	"Sabotage termine"
STR_WC_MESSAGEBUILDING,	"Building",	"En cours de construction"
STR_WC_MESSAGEBUILDINGINFORMATION,	"During building time you can not move",	"Durant la construction, vous ne pouvez pas bouger."
STR_WC_MESSAGESABOTINGINFORMATION,	"During sabotaging time you can not move",	"Durant le sabotage, vous ne pouvez pas bouger."
STR_WC_MESSAGECANBUILDTENT,	"Your tent already exists.",	"Une tente existe deja."
STR_WC_MESSAGEREMOVETENT,	"You must remove your tent to build a new one.",	"Vous devez demonter votre tente existante avant d'en construire une nouvelle."
STR_WC_MESSAGEDIGATRENCH,	"Dig a trench",	"Creuser une tranchee"
STR_WC_MESSAGECANDIG,	"Can't dig a trench here.",	"Vous ne pouvez pas creuser ici."
STR_WC_MESSAGEDETECTORIED,	"Ied detector",	"Detecteur Ied"
STR_WC_MESSAGEDEPLOYATENT,	"Deploy a tent",	"Deployer une tente"
STR_WC_MESSAGETRYTOMOVEAROUND,	"Check the ied presence",	"Verifiez la presence de l'engin explosif"
STR_WC_MESSAGETRYTOMOVEOUT,	"Try to move out of base",	"Eloignez vous de la base"
STR_WC_MESSAGEIEDHASBEENDETECT,	"Possible IED has been detected",	"La presence de quelque chose similaire a un ied a ete detecte"
STR_WC_MESSAGECANCREATETENT,	"Can't deploy a tent here.",	"Vous ne pouvez pas deployer de tente ici."
